Materials,a,c,C11,C12,SG,Phase,Temp
MoO2,2.83,20,232.92,84.67,187,2H,0K
MoS2,3.18,15,134.89,32.03,187,2H,0K
MoSe2,3.32,20,110.7,25.66,187,2H,0K
MoTe2,3.55,20,84.72,20.25,187,2H,0K
WO2,2.85,20,253.25,91.32,187,2H,0K
WS2,3.18,20,148.47,31.2,187,2H,0K
WSe2,3.32,20,122.01,22.91,187,2H,0K
WTe2,3.55,20,91.42,15.4,187,2H,0K
HfS2,3.64,15,86.29,15.28,187,2H,0K
MoS2,3.16,12.31,151.5361,65.243,187,2H,0K
hBN,2.512,15,293.2,66.1,187,Other,0K
ZnO,3.282,26.14,91.86,59.78,187,Other,0K
Graphene,2.466,20,352.02,61.15,191,Other,0K
g-TIN,3.73,15,65.7,45.3,187,2H,0K
